CODE,RESOLVED_DESCRIPTION,SOURCE,VARIANTS,MAJOR_CATEGORY,MINOR_CATEGORY
CO129,Prior processing information appears incorrect,CARC dictionary,Payment denied - Prior processing information appears incorrect. (x2) | PAYMENT ADJUSTED BECAUSE THIS SERVICE/PROCEDURE REQUIRES THAT A QUALIFYING SERVICE/PROCEDURE BE RECEIVED AND COVERED. THE QUALIFYING OTHER SERVICE/PROCEDURE HAS NOT BEEN RECEIVED/ADJUDICATED. (x1),COB/Other Payer,Other/Unspecified
CO13,The date of death precedes the date of service,CARC dictionary,The date of death precedes the date of service. (x2) | Services not covered because the patient is enrolled in a Hospice. (x1),Provider Billing Error,Other/Unspecified
CO131,Claim specific pre-arranged demonstration project adjustment,CARC dictionary,Claim specific negotiated discount. (x2) | Claim overlaps inpatient stay.  Rebill only those services rendered outside the inpatient stay. (x1),Program/Demo Adjustment,Other/Unspecified
CO132,Prearranged demonstration project adjustment,CARC dictionary,Prearranged demonstration project adjustment. (x2) | Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay. (x1),Program/Demo Adjustment,Other/Unspecified
CO133,The disposition of the claim/service is pending further review,CARC dictionary,The disposition of this claim/service is pending further review. (x2) | Social Security records indicate that this patient was a prisoner when the service was rendered. (x1),Pending/Processing,Other/Unspecified
CO138,Appeal procedures not followed or time limits expired,CARC dictionary,Claim/service denied. Appeal procedures not followed or time limits not met. (x2) | CLAIM/SERVICE DENIED BECAUSE PROCEDURE/TREATMENT IS DEEMED EXPERIMENTAL/INVESTIGATIONAL BY THE PAYER. (x1),Appeals/Timely Filing,Appeals/Timely Filing
CO140,Patient/Insured health identification number and name do not match,CARC dictionary,Patient/Insured health identification number and name do not match. (x2) | PATIENT HAS NOT MET THE REQUIRED ELIGIBILITY REQUIREMENTS (x1),Provider Billing Error,Other/Unspecified
CO146,Diagnosis was invalid for the date(s) of service reported,CARC dictionary,Payment denied because the diagnosis was invalid for the date(s) of service reported. (x2) | PAYMENT ADJUSTED DUE TO A SUBMISSION/BILLING ERROR(S). ADDITIONAL INFORMATION IS SUPPLIED USING THE REMITTANCE ADVICE REMARKS CODES WHENEVER APPROPRIATE. THIS CHANGE TO BE EFFECTIVE 4/1/2007: AT LEAST ONE REMARK CODE MUST BE PROVIDED. (x1),Provider Billing Error,Provider Billing Error/Diagnosis
CO147,Provider contracted/negotiated rate expired on the date of service,CARC dictionary,Provider contracted/negotiated rate expired or not on file. (x2) | Precertification/authorization/notification/pre-treatment number may be valid but does not apply to the billed services. (x1),Contractual/Payment,Other/Unspecified
CO15,"The authorization number is missing, invalid, or does not apply",CARC dictionary,"Payment adjusted because the submitted authorization number is missing, invalid, or does not apply to the billed services or provider. (x2) | Payment adjusted because the payer deems the information submitted does not support this many services. (x1)",Authorization/Precert,Authorization/Precert
CO150,Payer deems the information does not support this many services,CARC dictionary,Payment adjusted because the payer deems the information submitted does not support this level of service. (x2) | Payment adjusted as not furnished directly to the patient and/or not documented. (x1) | Payment adjusted because an alternate benefit has been provided (x1) | PAYMENT ADJUSTED BECAUSE AN ALTERNATE BENEFIT HAS BEEN PROVIDED (x1) | PAYMENT ADJUSTED BECAUSE PROCEDURE/SERVICE WAS PARTIALLY OR FULLY FURNISHED BY ANOTHER PROVIDER. (x1),Medical Necessity/Review,Other/Unspecified
CO151,Payer deems the information does not support this length of service,CARC dictionary,Payment adjusted because the payer deems the information submitted does not support this many services. (x2) | Payment adjusted because rent/purchase guidelines were not met. (x1) | PAYMENT ADJUSTED BECAUSE RENT/PURCHASE GUIDELINES WERE NOT MET. (x1) | PAYMENT ADJUSTED BECAUSE REQUESTED INFORMATION WAS NOT PROVIDED OR WAS INSUFFICIENT/INCOMPLETE. ADDITIONAL INFORMATION IS SUPPLIED USING THE REMITTANCE ADVICE REMARKS CODES WHENEVER APPROPRIATE. AT LEAST ONE REMARK CODE MUST BE PROVIDED. (x1) | Payment adjusted because requested information was not provided or was insufficient/incomplete. Additional information is supplied using the remittance advice remarks codes whenever appropriate. At least one Remark Code must be provided. (x1),Medical Necessity/Review,Other/Unspecified
CO16,Claim/service lacks information or has submission error(s),CARC dictionary,Claim/service lacks information which is needed for adjudication. Additional information is supplied using remittance advice remarks codes whenever appropriate. This change to be effective 4/1/2007: At least one Remark Code must be provided. (x2) | Claim/Service denied. At least one Remark Code must be provided (may be comprised of either the Remittance Advice Remark Code or NCPDP Reject Reason Code). (x1),Provider Billing Error,Other/Unspecified
CO163,Attachment referenced on the claim was not received,CARC dictionary,Claim/Service adjusted because the attachment referenced on the claim was not received. (x3) | Claim/Service adjusted because the attachment referenced on the claim was not received in a timely fashion. (x2),Documentation/Attachments,Documentation/Attachments
CO164,Attachment/other documentation contains services not listed on claim,CARC dictionary,Claim/Service adjusted because the attachment referenced on the claim was not received in a timely fashion. (x2) | Claim specific negotiated discount. (x1) | Claim Withdrawn a Providers request (x1),Provider Billing Error,Documentation/Attachments
CO166,Information requested from the patient/insured was not provided,CARC dictionary,These services were submitted after this payers responsibility for processing claims under this plan ended. (x2) | The disposition of this claim/service is pending further review. (x1),Documentation/Attachments,Other/Unspecified
CO167,This diagnosis is not covered,CARC dictionary,"This (these) diagnosis(es) is (are) not covered. (x2) | The Medicaid state requires provider to be enrolled in the member's Mediciad state program prior to any claim benefits being processed. (x1) | THE MEMBER HAS ELECTED MEDICARE HOSPICE BENEFITS. (x1) | The member's coverage was not in effect on the date services were provided. (x1) | The patient's coverage does not provide for Ambulance services. Therefore, no payment can be made. We provide administrative claims payment services only and do not assume any financial risk or obligation. (x1)",Coverage/Eligibility,Provider Billing Error/Diagnosis
CO168,Blood deductible,CARC dictionary,Payment denied as Service(s) have been considered under the patient's medical plan. Benefits are not available under this dental plan (x2) | PAYMENT ADJUSTED BECAUSE TRANSPORTATION IS ONLY COVERED TO THE CLOSEST FACILITY THAT CAN PROVIDE THE NECESSARY CARE. (x1),Patient Responsibility,Patient Responsibility/Deductible
CO169,Alternate benefit has been provided,CARC dictionary,Payment adjusted because an alternate benefit has been provided (x2) | Patient is not an eligible person under PIP as applicant was in the use and operation of their own vehicle at the time of motor vehicle accident. (x1),Contractual/Payment,Other/Unspecified
CO17,Requested information was not provided or was insufficient/incomplete,CARC dictionary,Payment adjusted because requested information was not provided or was insufficient/incomplete. Additional information is supplied using the remittance advice remarks codes whenever appropriate. At least one Remark Code must be provided. (x2) | PATIENT RESPONSIBILITY (x1),Documentation/Attachments,Other/Unspecified
CO170,Payment denied when performed/billed by this type of provider,CARC dictionary,"Payment is denied when performed/billed by this type of provider. (x2) | Payment denied/reduced for exceeded, precertification/authorization (x1)",Coverage/Eligibility,Other/Unspecified
CO171,Payment adjusted when performed/billed by this provider specialty,CARC dictionary,"Payment is denied when performed/billed by this type of provider in this type of facility. (x2) | Payment denied/reduced for exceeded, precertification/authorization (x1)",Contractual/Payment,Other/Unspecified
CO177,Patient has not met the required eligibility requirements,CARC dictionary,Payment denied because the patient has not met the required eligibility requirements (x1) | PATIENT HAS NOT MET THE REQUIRED ELIGIBILITY REQUIREMENTS (x1) | Original payment decision is being maintained. This claim was processed properly the first time. (x1) | Payment adjusted due to the impact of prior payer(s) adjudication including payments and/or adjustments (x1),Coverage/Eligibility,Coverage/Eligibility
CO18,Exact duplicate claim/service,CARC dictionary,Duplicate claim/service. (x2) | Duplicate Claim (x1),Provider Billing Error,Provider Billing Error/Duplicate
CO181,Procedure code was invalid on the date of service,CARC dictionary,Payment adjusted because this procedure code was invalid on the date of service (x2) | Payment adjusted because the procedure modifier was invalid on the date of service (x2) | PAYMENT ADJUSTED BECAUSE THE PROCEDURE MODIFIER WAS INVALID ON THE DATE OF SERVICE (x1),Provider Billing Error,Provider Billing Error/Coding
CO182,Procedure modifier was invalid on the date of service,CARC dictionary,Payment adjusted because the procedure modifier was invalid on the date of service (x2) | Payment adjusted because the payer deems the information submitted does not support this level of service. (x2) | Payment adjusted because the benefit for this service is included in the payment/allowance for another service/procedure that has already been adjudicated (x1),Provider Billing Error,Provider Billing Error/Coding
CO183,The referring provider is not eligible to refer service performed,CARC dictionary,The referring provider is not eligible to refer the service billed. (x2) | THE COMBINATION OF PROCEDURE COD (x1),Provider Billing Error,Other/Unspecified
CO184,The prescribing/ordering provider is not eligible to prescribe/order,CARC dictionary,"The prescribing/ordering provider is not eligible to prescribe/order the service billed. (x2) | The ambulance claim submitted on your behalf has been returned to the provider due ot a billing issue.  If you have questions regarding a corrected claim submission, please contact the community provider. (x1)",Provider Billing Error,Other/Unspecified
CO185,The rendering provider is not eligible to perform service billed,CARC dictionary,The rendering provider is not eligible to perform the service billed. (x2) | E AND MODIFIER IS NOT VALID ON T (x1),Provider Billing Error,Other/Unspecified
CO19,This is a work-related injury/illness,CARC dictionary,Claim denied because this is a work-related injury/illness and thus the liability of the Worker's Compensation Carrier. (x2) | Claim denied because this injury/illness is the liability of the no-fault carrier. (x1),Other Insurance,Coverage/Workers Comp
CO190,Payment adjusted - documentation did not support service,CARC dictionary,"Payment denied/reduced for exceeded, precertification/authorization (x3) | Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay. (x2)",Medical Necessity/Review,Other/Unspecified
CO192,Non-standard adjustment code from paper remittance,CARC dictionary,Non standard adjustment code from paper remittance advice. (x2) | No Fault - The application for benefits was not received within 30 days of the accident date and the applicant did not submit prior written notice. (x1) | No Fault - Treatment is not related to the Motor Vehicle Accident. (x1) | No Fault - Written proof of claim was provided more than 45 days after the date these services were rendered. (x1) | No Medicare Allowable (x1),Contractual/Payment,Other/Unspecified
