CODE,DESCRIPTION,MAJOR_CATEGORY,MINOR_CATEGORY
53,Claim adjusted by the monthly Medicaid patient liability amount.,Coverage/Eligibility,Coverage/Eligibility
55,TAR/SAR.,Medical Necessity/Review,Medical Necessity/Review
5930,MILEAGE QUANTITY DOES NOT MATCH AMBULANCE NOTES,Documentation/Attachments,Documentation/Attachments
5A2,Pre-notification/certification for this higher level of care (facility or program) is not yet on file for the services billed.,Authorization/Precert,Authorization/Precert
5NG,Presumptive Payment Adjustment,Payer Specific,Other/Unspecified
5RY,Payment for services is included in the facility fee,Payer Specific,Other/Unspecified
6,The diagnosis is inconsistent with the provider type.,Provider Billing Error,Provider Billing Error/Diagnosis
60902,This (these) diagnosis(es) is (are) not covered.,Provider Billing Error,Provider Billing Error/Diagnosis
6232,THIS (THESE) DIAGNOSIS(ES) IS (ARE) NOT COVERED.,Provider Billing Error,Provider Billing Error/Diagnosis
705,Recipent has other Insurance; bill primary carrier,COB/Other Payer,COB/Other Payer
725,SERVICES ARE THE FINANCIAL RESPO,Payer Specific,Other/Unspecified
73006,"These charges are for services received before the effective date of this patient's coverage.  Therefore, benefits are not available.",Coverage/Eligibility,Coverage/Eligibility
73012,LATE BILLING * CUTBACK.,Payer Specific,Other/Unspecified
73013,Late filing penalty.,Appeals/Timely Filing,Appeals/Timely Filing
73020,The Veteran did not receive VA treatment within the 24 month period preceding the emergency treatment. 38 CFR 17.1002 (d),Payer Specific,Other/Unspecified
73021,OF SPECIFICITY.,Payer Specific,Other/Unspecified
73023,These are non covered services because this is a routine exam or screening procedure done in conjunction with a routine exam,Payer Specific,Other/Unspecified
73029,There is no active evidence of coverage in force at the time of service.,Coverage/Eligibility,Coverage/Eligibility
73030,This (these) diagnosis(es) is (are) missing or are invalid,Provider Billing Error,Provider Billing Error/Diagnosis
73033,These are non-covered services because this is not deemed a 'medical necessity' by the payer.,Medical Necessity/Review,Medical Necessity/Review
73067,Ambulance Transports fall under emergency treatment and the treatment provided did not meet the Prudent Layperson definition of a medical emergency of loss of life or limb. 38 CFR Part 70.4 (2) (d) (3).,Coverage/Eligibility,Coverage/Transport
73068,Ambulance claim did not meet all required criteria under 38 USC 111. VA has determined the Veterans travel was not in connection with care or services for which the VA authorized. 38 CFR 70.4 (a) (2),Coverage/Eligibility,Coverage/Transport
73069,Original payment decision is being maintained. This claim was processed properly the first time.,Payer Specific,Other/Unspecified
73070,Ambulance claim did not meet all required criteria under 38 USC 111. The Veteran is a Non-Service connected with income greater than the low-income threshold or your income is not on file to determine a status for consideration of payment.,Coverage/Eligibility,Coverage/Transport
73071,THE DIAGNOSIS IS INCONSISTENT WITH THE PATIENT'S AGE.,Provider Billing Error,Provider Billing Error/Diagnosis
73072,Services available through Medicaid card.,Payer Specific,Other/Unspecified
73101,The VA is without sufficient evidence that this ambulance transport was related to care or services for which the Veteran is eligible. Please resubmit claim with an Ambulance trip report.,Documentation/Attachments,Documentation/Attachments
73113,Late filing penalty.,Appeals/Timely Filing,Appeals/Timely Filing
8,SUPPLIES INCLUDED IN TRANSPORTATION REIMBURSEMENT.,Coverage/Eligibility,Coverage/Transport
9,The diagnosis is inconsistent with the patient's age,Provider Billing Error,Provider Billing Error/Diagnosis
9023,Rebill Medi-cal Paper,Payer Specific,Other/Unspecified
93537,Claim already processed.,Provider Billing Error,Provider Billing Error/Duplicate
93558,SERVICES DENIED AT THE TIME AUTHORIZATION/PRE-CERTIFICATION WAS REQUESTED.,Authorization/Precert,Authorization/Precert
9545,Orig and Dest Addrs are Req,Payer Specific,Other/Unspecified
9562,INVALID BIC ID DATE OF ISSUE,Payer Specific,Other/Unspecified
968,No Fault - Submit to No Fault Carrier,Other Insurance,COB/No Fault
982,Bill Medicare for non-hospice related services.,Coverage/Eligibility,Coverage/Hospice
9O,Submit claim to medical carrier,Payer Specific,Other/Unspecified
AB,Patient is enrolled in a Hospice.,Coverage/Eligibility,Coverage/Hospice
ANC,The procedure code is inconsistent with the modifier used or a required modifier is missing.,Provider Billing Error,Provider Billing Error/Modifier
AO216,gg,Payer Specific,Other/Unspecified
AO23,Co-payment Amount,Patient Responsibility,Patient Responsibility/Copay
AR,Procedure is not covered because the patients contract contains specific exclusions for condition/service reported.,Payer Specific,Other/Unspecified
ASS,ASSUMED,Payer Specific,Other/Unspecified
B19,11-This service is not covered when performed for the reported diagnosis.,Provider Billing Error,Provider Billing Error/Diagnosis
B1D,Delay in processing-missing AOB,Payer Specific,Other/Unspecified
B4R,22-Medicare Enrollee has Hospice election in effort for the claim date of service and any non-hospice service not related to the illness.,Coverage/Eligibility,Coverage/Hospice
B5,Additional information we requested from the member was not received within the required timeframe.  Charges in the patient responsibility field were denied.,Appeals/Timely Filing,Appeals/Timely Filing
B5000A,THE ALLOWED AMT IS INTENDED TO BE PAYMENT IN FULL FOR COVRD SRVICE/ NEGOTIATED AGREEMENT ON FILE,Payer Specific,Other/Unspecified
B9,Original payment decision is being maintained. This claim was processed properly the first time.,Coverage/Eligibility,Coverage/Hospice
BA,MAXIMUM ALLOWED BY MEDICARE,Payer Specific,Other/Unspecified
BA1,This (these) diagnosis(es) is (are) not covered.,Provider Billing Error,Provider Billing Error/Diagnosis
BA3,"27-Services were rendered after the cancellation date of your contract, therefore, no benefits are payable.",Payer Specific,Other/Unspecified
BAC,Non-covered charge(s). This change to be effective 4/1/2007: At least one Remark Code must be provided (may be comprised of either the Remittance Advice Remark Code or NCPDP Reject Reason Code.),Payer Specific,Other/Unspecified
BAJ,Line item denied due to invalid code/non-payment modifier combination.,Provider Billing Error,Provider Billing Error/Modifier
BAK,MAJOR MEDICAL ADJUSTMENT.,Payer Specific,Other/Unspecified
BCS,"No Fault - Injured person not an ""Eligible Injured Person""",Other Insurance,COB/No Fault
BED,"22-Denied, services must be submitted to Medicare.",Payer Specific,Other/Unspecified
BEX,125-Rebill as an adjustment.,Payer Specific,Other/Unspecified
BH4,Claim specific negotiated discount.,Payer Specific,Other/Unspecified
BL6,96-Services disallowed by Medicare are not covered under your contract.,Payer Specific,Other/Unspecified
BL9,"16-The subscriber has not replied with our request for additional information, therefore, no benefits are availble.",Payer Specific,Other/Unspecified
BLH,Submit claims to National MedTrans.,COB/Other Payer,COB/Payer Routing
BLMD,BENEFITS ADJUSTED. PLAN PROCEDURES NOT FOLLOWED.,Payer Specific,Other/Unspecified
BM1,18-This is a duplicate of a claim previously submitted.,Provider Billing Error,Provider Billing Error/Duplicate
BMA,THE PROCEDURE CODE/BILL TYPE IS INCONSISTENT WITH THE PLACE OF SERVICE.,Provider Billing Error,Provider Billing Error/POS
BPK,50-Not Medically Necessary - Par provider cannot bill member. See letter of explanation of benefits sent separately.,Medical Necessity/Review,Medical Necessity/Review
BU1,"16-Medical information was requested from your provider of service, they have not replied, until we receive a reply, the claim is denied.",Payer Specific,Other/Unspecified
BW2,Is not consided an eligible injured person,Payer Specific,Other/Unspecified
BZ4,Services not covered because the patient is enrolled in a Hospice.,Coverage/Eligibility,Coverage/Hospice
BZH,"62-Denied, not authorized by PCP.",Payer Specific,Other/Unspecified
BZJ,No Fault - our investigation reveals you were occuying or struck by a motor vehicle other than the insured's motor vehicle.,Other Insurance,COB/No Fault
CB,THIS (THESE) DIAGNOSIS(ES) IS (ARE) NOT COVERED.,Provider Billing Error,Provider Billing Error/Diagnosis
CC,No Claim level Adjustments.,Payer Specific,Other/Unspecified
CDD,The procedure code is inconsistent with the modifier used or a required modifier is missing.,Provider Billing Error,Provider Billing Error/Modifier
CDTA,TENET RESPONSIBILITY,Payer Specific,Other/Unspecified
CE040,Primary diagnosis missing for procedure.,Provider Billing Error,Provider Billing Error/Diagnosis
CE306,Ambulance charges not payable during inpatient stay,Coverage/Eligibility,Coverage/Transport
CE329,R REVIEW.,Payer Specific,Other/Unspecified
CH,HEALTH SAVINGS ACCOUNT PAYMENTS,Payer Specific,Other/Unspecified
CO-284,ESRD network approval not obtained,Authorization/Precert,Authorization/Precert
CO-45,Charge exceeds maximum allowable or contracted amount,Contractual/Payment,Contractual/UCR
CO001,Deductible Amount,Patient Responsibility,Patient Responsibility/Deductible
CO0012,The diagnosis is inconsistent with the provider type,Provider Billing Error,Provider Billing Error/Diagnosis
CO0014,The date of birth follows the date of service,Provider Billing Error,Provider Billing Error/Other
CO0015,"The authorization number is missing, invalid, or does not apply",Authorization/Precert,Authorization/Precert
CO0016,Claim/service lacks information or has submission error(s),Provider Billing Error,Provider Billing Error/Other
CO0017,Requested information was not provided or was insufficient/incomplete,Documentation/Attachments,Documentation/Attachments
CO002,Coinsurance Amount,Patient Responsibility,Patient Responsibility/Coinsurance
CO0020,CLAIM FORWARED TO EMI FOR REVIEW,Other Insurance,COB/No Fault
CO0022,TENET RESPONSIBILITY,Other Insurance,Other Insurance/Other
CO0027,Expenses incurred after coverage terminated,Coverage/Eligibility,Coverage/Eligibility
CO0028,Coverage terminated before service date,Coverage/Eligibility,Coverage/Eligibility
CO0029,The time limit for filing has expired,Appeals/Timely Filing,Appeals/Timely Filing
CO003,Co-payment Amount,Patient Responsibility,Patient Responsibility/Copay
CO0031,Patient cannot be identified as our insured,Coverage/Eligibility,Coverage/Eligibility
CO0033,Insured has no dependent coverage,Coverage/Eligibility,Coverage/Eligibility
CO0036,Balance does not exceed co-payment amount,Patient Responsibility,Patient Responsibility/Copay
CO0039,Services denied at the time authorization/pre-certification was requested,Authorization/Precert,Authorization/Precert
CO004,ADJ-OVERPAYMENT,Refund/Recovery,Refund/Recovery
CO0043,Inappropriate use of procedure code,Provider Billing Error,Provider Billing Error/Coding
CO0045,Charges exceed your contracted/legislated fee arrangement,Contractual/Payment,Contractual/Payment/Other
CO0049,This is a non-covered service,Coverage/Eligibility,Coverage/Eligibility
CO005,The procedure code/bill type is inconsistent with the place of service,Provider Billing Error,Provider Billing Error/POS
CO0050,These are non-covered services,Coverage/Eligibility,Coverage/Eligibility
CO0052,Medicare program rules prevent payment for this service,Coverage/Eligibility,Coverage/Eligibility
CO0053,UPHELD-DUPLICATE REQUEST,Provider Billing Error,Provider Billing Error/Duplicate
CO0055,Procedure/treatment is deemed experimental/investigational,Medical Necessity/Review,Medical Necessity/Review
CO0056,"Procedure/treatment has not been deemed ""proven to be effective""",Medical Necessity/Review,Medical Necessity/Review
CO0058,Treatment was deemed by the payer to have been rendered in an inappropriate setting,Coverage/Eligibility,Coverage/Eligibility
CO006,ABOVE MEDICARE RATE.,Provider Billing Error,Provider Billing Error/Coding
CO0061,Penalty for failure to obtain second surgical opinion,Coverage/Eligibility,Coverage/Eligibility
CO0062,Payment for obsolete/outdated equipment/materials,Contractual/Payment,Contractual/Payment/Other
CO007,The procedure/revenue code is inconsistent with the patient's gender,Provider Billing Error,Provider Billing Error/Coding
CO0071,SERVICE HAS EXCEEDED THE AUTHORIZED LIMIT / MEMBER COVERAGE LIMITED,Coverage/Eligibility,Coverage/Eligibility
CO008,The procedure code is inconsistent with the provider type/specialty,Provider Billing Error,Provider Billing Error/Coding
CO01,Deductible Amount,Patient Responsibility,Patient Responsibility/Deductible
CO011,The diagnosis is inconsistent with the procedure,Provider Billing Error,Provider Billing Error/Diagnosis
CO012,The diagnosis is inconsistent with the provider type,Provider Billing Error,Provider Billing Error/Diagnosis
CO013,The date of death precedes the date of service,Provider Billing Error,Provider Billing Error/Other
CO014,The date of birth follows the date of service,Provider Billing Error,Provider Billing Error/Other
CO015,"The authorization number is missing, invalid, or does not apply",Authorization/Precert,Authorization/Precert
CO016,Claim/service lacks information or has submission error(s),Provider Billing Error,Provider Billing Error/Other
CO017,Requested information was not provided or was insufficient/incomplete,Documentation/Attachments,Documentation/Attachments
CO02,Coinsurance Amount,Patient Responsibility,Patient Responsibility/Coinsurance
CO021,This injury/illness is the liability of the no-fault carrier,Other Insurance,COB/No Fault
CO022,This care may be covered by another payer,Other Insurance,Other Insurance/Other
CO023,"EMERG SERV IND ON CLAIM IS NOT V_x000D_
ALID FOR NON-EMERG SERV.",COB/Other Payer,COB/Other Payer
CO024,Charges are covered under a capitation agreement/managed care plan,Contractual/Payment,Contractual/UCR
CO025,Payment denied. Patient has not met the required eligibility requirements,Coverage/Eligibility,Coverage/Eligibility
CO026,"THE TAR CONTROL NUMBER SUBMITTED_x000D_
ON THE CLAIM IS NOT FOUND ON TH_x000D_
E TAR MASTER FILE.",Coverage/Eligibility,Coverage/Eligibility
CO027,"PENDING RETURN OF RESUBMISSION T_x000D_
URNAROUND DOCUMENTS.",Pending/Processing,Pending/Review
CO028,Coverage terminated before service date,Coverage/Eligibility,Coverage/Eligibility
CO029,"PAYMENT REDUCED DUE TO OTHER INS_x000D_
URANCE PAYMENT.",Appeals/Timely Filing,Appeals/Timely Filing
CO03,Co-payment Amount,Patient Responsibility,Patient Responsibility/Copay
CO030,This payment is being made conditionally,Contractual/Payment,Contractual/Payment/Other
CO031,Patient cannot be identified as our insured,Coverage/Eligibility,Coverage/Eligibility
CO032,"HEALTH CARE PLAN ENROLLEE OR MEN_x000D_
TAL HEALTH PLAN RECIPENT;CAPITAT_x000D_
ED/COVERED SERVICE NOT BILLABLE _x000D_
TO MEDI-CAL.",Documentation/Attachments,Documentation/Attachments
CO033,"THE PROVIDER OF SERVICE IS NOT E_x000D_
LIGIBLE FOR THE TYPE OF SERVICES_x000D_
BILLED.",Coverage/Eligibility,Coverage/Eligibility
CO034,Insured has no coverage for newborns,Coverage/Eligibility,Coverage/Eligibility
CO035,"RTD WAS EITHER NOT RETURNED OR W_x000D_
AS RETURNED UNCORRECTED;THEREFOR_x000D_
E YOUR CLAIM IS FORMALLY DENIED.",Benefit Limits,Benefit Limits
CO036,"PENDING FISCAL INTERMEDIARY REVI_x000D_
EW",Pending/Processing,Pending/Review
CO037,"PAYMENT ADJUSTED BECAUSE THIS PR_x000D_
OCEDURE/SERVICE IS NOT PAID SEPA_x000D_
RATELY.",Patient Responsibility,Patient Responsibility/Deductible
CO038,Services not provided or not provided as frequently as billed,Provider Billing Error,Provider Billing Error/Other
CO039,Services denied at the time authorization/pre-certification was requested,Authorization/Precert,Authorization/Precert
CO04,Additional information requested,Provider Billing Error,Provider Billing Error/Modifier
CO040,"CONTRACTED OR NON-CONTRACTED PRO_x000D_
VIDER'S CLAIM ADJUDICATED BASED _x000D_
ON HEALTHCARE PARTNERS' ,FEDERAL_x000D_
OR STATE REGULATORY CLAIMS PROC_x000D_
ESSING GUIDELINES,CONTRACT AGREE_x000D_
MENT,MEDICARE RATES OR HCP USUAL_x000D_
AND CUSTOMARY FEE SCHEDULE.",Contractual/Payment,Contractual/UCR
CO041,INTEREST PAYMENT,Provider Billing Error,Provider Billing Error/Coding
CO042,PCS,Provider Billing Error,Provider Billing Error/Coding
CO043,Inappropriate use of procedure code,Provider Billing Error,Provider Billing Error/Coding
CO044,"MEMBER'S SHARE OF COST WAS MET P_x000D_
RIOR TO THIS DATE OF SERVICE.",Contractual/Payment,Contractual/Payment/Other
CO045,Charges exceed your contracted/legislated fee arrangement,Contractual/Payment,Contractual/Payment/Other
CO046,This service/procedure requires a referral,Authorization/Precert,Authorization/Precert
CO047,OVERTURN NOT PD AT UCR RATE.,Contractual/Payment,Contractual/UCR
CO048,CLAIM ON APPROPRIATE FORM(HCFA OR UB).,Other Insurance,Coverage/Workers Comp
CO049,This is a non-covered service,Coverage/Eligibility,Coverage/Eligibility
CO05,The procedure code/bill type is inconsistent with the place of service,Provider Billing Error,Provider Billing Error/POS
CO050,MILEAGE IS IN EXCESS OF THAT SUPPORTED BY MAPPING PROGRAM.,Coverage/Eligibility,Coverage/Transport
CO051,APPEAL/CORRECTED CLM REVIEW-NO ADDL PYMNT.,Bundled/Inclusive,Bundled/Inclusive
CO052,Medicare program rules prevent payment for this service,Coverage/Eligibility,Coverage/Eligibility
CO053,ADJ-UNDERPAYMENT,Coverage/Eligibility,Coverage/Eligibility
CO06,The procedure/revenue code is inconsistent with the patient's age,Provider Billing Error,Provider Billing Error/Coding
CO07,The procedure/revenue code is inconsistent with the patient's gender,Provider Billing Error,Provider Billing Error/Coding
CO08,The procedure code is inconsistent with the provider type/specialty,Provider Billing Error,Provider Billing Error/Coding
CO09,The diagnosis is inconsistent with the patient's age,Provider Billing Error,Provider Billing Error/Diagnosis
CO1,Deductible Amount,Patient Responsibility,Patient Responsibility/Deductible
CO10,The diagnosis is inconsistent with the patient's gender,Provider Billing Error,Provider Billing Error/Diagnosis
CO100,Payment made to patient/insured/responsible party.,Contractual/Payment,Contractual/Payment/Other
CO101,Predetermination: anticipated payment upon completion of services or claim adjudication.,Predetermination,Other/Unspecified
CO102,Major Medical Adjustment,Major Medical,Other/Unspecified
CO103,"Provider promotional discount (e.g., Senior citizen discount).",Contractual/Payment,Contractual/Payment/Other
CO104,Managed care withholding.,Contractual/Payment,Contractual/UCR
CO105,Tax withholding.,Contractual/Payment,Contractual/Payment/Other
CO106,Patient payment option/election not in effect.,Coverage/Eligibility,Coverage/Eligibility
CO107,Payment adjusted for failure to obtain treatment authorization,Authorization/Precert,Authorization/Precert
CO108,Payment adjusted because rent/purchase guidelines were not met.,Coverage/Eligibility,Coverage/Eligibility
CO109,Claim/service not covered by this payer/contractor,Coverage/Eligibility,Coverage/Eligibility
CO11,The diagnosis is inconsistent with the procedure,Provider Billing Error,Provider Billing Error/Diagnosis
CO110,Billing date predates service date.,Provider Billing Error,Provider Billing Error/Other
CO111,Not covered unless the provider accepts assignment.,Coverage/Eligibility,Coverage/Eligibility
CO112,Service not furnished directly to the patient,Coverage/Eligibility,Coverage/Eligibility
CO113,Payment denied because service/procedure was provided outside the United States or as a result of war.,Coverage/Eligibility,Coverage/Eligibility
CO114,Procedure/product not approved by the Food and Drug Administration.,Coverage/Eligibility,Coverage/Eligibility
CO115,Payment adjusted as procedure postponed or canceled.,Medical Necessity/Review,Medical Necessity/Review
CO116,Payment denied. The advance indemnification notice signed by the patient did not comply with requirements.,Coverage/Eligibility,Coverage/Eligibility
CO117,Transportation is only covered to the nearest appropriate facility that can provide the required level of care,Coverage/Eligibility,Coverage/Transport
CO118,Transportation is only covered for trips under prescribed mileage limit,Coverage/Eligibility,Coverage/Transport
CO119,Benefit maximum has been reached,Benefit Limits,Benefit Limits
CO12,The diagnosis is inconsistent with the provider type,Provider Billing Error,Provider Billing Error/Diagnosis
CO120,Patient is covered by a managed care plan.,Contractual/Payment,Contractual/UCR
CO121,Indemnification adjustment.,Contractual/Payment,Contractual/Payment/Other
CO122,Psychiatric reduction.,Contractual/Payment,Contractual/Payment/Other
CO123,Payer refund due to overpayment.,Refund/Recovery,Refund/Recovery
CO124,Payer refund amount - not our patient.,Refund/Recovery,Refund/Recovery
CO125,Submission/billing error(s),Provider Billing Error,Provider Billing Error/Other
CO126,Deductible -- Major Medical,Patient Responsibility,Patient Responsibility/Deductible
CO127,Coinsurance -- Major Medical,Patient Responsibility,Patient Responsibility/Coinsurance
CO128,Newborn's services are covered in the mother's Allowance.,Coverage/Eligibility,Coverage/Eligibility
CO129,Prior processing information appears incorrect,COB/Other Payer,COB/Other Payer
CO13,The date of death precedes the date of service,Provider Billing Error,Provider Billing Error/Other
CO130,Claim submission fee.,Contractual/Payment,Contractual/Payment/Other
CO131,Claim specific pre-arranged demonstration project adjustment,Program/Demo Adjustment,Program/Demo
CO132,Prearranged demonstration project adjustment,Program/Demo Adjustment,Program/Demo
CO133,The disposition of the claim/service is pending further review,Pending/Processing,Pending/Review
CO134,Technical fees removed from charges.,Bundled/Inclusive,Bundled/Inclusive
CO135,Claim denied. Interim bills cannot be processed.,Provider Billing Error,Provider Billing Error/Other
CO136,Claim adjusted based on failure to follow prior payer's coverage rules. (Use Group Code OA).,Coverage/Eligibility,Coverage/Eligibility
CO137,"Payment/Reduction for Regulatory Surcharges, Assessments, Allowances or Health Related Taxes.",Contractual/Payment,Contractual/Payment/Other
CO138,Appeal procedures not followed or time limits expired,Appeals/Timely Filing,Appeals/Timely Filing
CO139,Contracted funding agreement - Subscriber is employed by the provider of services.,Contractual/Payment,Contractual/Payment/Other
CO14,The date of birth follows the date of service.,Provider Billing Error,Provider Billing Error/Other
CO140,Patient/Insured health identification number and name do not match,Provider Billing Error,Provider Billing Error/Other
CO141,Claim adjustment because the claim spans eligible and ineligible periods of coverage.,Coverage/Eligibility,Coverage/Eligibility
CO142,Claim adjusted by the monthly Medicaid patient liability amount.,Contractual/Payment,Contractual/Payment/Other
CO143,Portion of payment deferred.,Contractual/Payment,Contractual/Payment/Other
CO144,"Incentive adjustment, e.g. preferred product/service.",Contractual/Payment,Contractual/Payment/Other
CO145,Premium payment withholding,Contractual/Payment,Contractual/Payment/Other
CO146,Diagnosis was invalid for the date(s) of service reported,Provider Billing Error,Provider Billing Error/Diagnosis
CO147,Provider contracted/negotiated rate expired on the date of service,Appeals/Timely Filing,Appeals/Timely Filing
CO148,Claim/service rejected at this time because information from another provider was not provided or was insufficient/incomplete.,Documentation/Attachments,Documentation/Attachments
CO149,Lifetime benefit maximum has been reached for this service/benefit category.,Benefit Limits,Benefit Limits
CO15,"The authorization number is missing, invalid, or does not apply",Authorization/Precert,Authorization/Precert
CO150,Payer deems the information does not support this many services,Medical Necessity/Review,Medical Necessity/Review
CO151,Payer deems the information does not support this length of service,Medical Necessity/Review,Medical Necessity/Review
CO152,Payment adjusted because the payer deems the information submitted does not support this length of service.,Medical Necessity/Review,Medical Necessity/Review
CO153,Payment adjusted because the payer deems the information submitted does not support this dosage.,Medical Necessity/Review,Medical Necessity/Review
CO154,Payment adjusted because the payer deems the information submitted does not support this day's supply.,Documentation/Attachments,Documentation/Attachments
CO155,This claim is denied because the patient refused the service/procedure.,Medical Necessity/Review,Medical Necessity/Review
CO156,Flexible spending account payments,Pending/Processing,Pending/Review
CO157,Payment denied/reduced because service/procedure was provided as a result of an act of war.,Coverage/Eligibility,Coverage/Eligibility
CO158,Payment denied/reduced because the service/procedure was provided outside of the United States.,Coverage/Eligibility,Coverage/Eligibility
CO159,Payment denied/reduced because the service/procedure was provided as a result of terrorism.,Coverage/Eligibility,Coverage/Eligibility
CO16,Claim/service lacks information or has submission error(s),Provider Billing Error,Provider Billing Error/Other
CO160,Payment denied/reduced because injury/illness was the result of an activity that is a benefit exclusion.,Coverage/Eligibility,Coverage/Eligibility
CO161,Provider performance bonus,Contractual/Payment,Contractual/Payment/Other
CO162,"State-mandated Requirement for Property and Casualty, see Claim Payment Remarks Code for specific explanation.",Regulatory/Sequestration,Regulatory/Sequestration
CO163,Attachment referenced on the claim was not received,Documentation/Attachments,Documentation/Attachments
CO164,Attachment/other documentation contains services not listed on claim,Documentation/Attachments,Documentation/Attachments
CO165,"Payment denied /reduced for absence of, or exceeded referral",Documentation/Attachments,Documentation/Attachments
CO166,Information requested from the patient/insured was not provided,Documentation/Attachments,Documentation/Attachments
CO167,This diagnosis is not covered,Provider Billing Error,Provider Billing Error/Diagnosis
CO168,Blood deductible,Patient Responsibility,Patient Responsibility/Deductible
CO169,Alternate benefit has been provided,Contractual/Payment,Contractual/Payment/Other
CO17,Requested information was not provided or was insufficient/incomplete,Documentation/Attachments,Documentation/Attachments
CO170,Payment denied when performed/billed by this type of provider,Coverage/Eligibility,Coverage/Eligibility
CO171,Payment adjusted when performed/billed by this provider specialty,Network/Provider Contract,Network/Provider Credential
CO172,Payment is adjusted when performed/billed by a provider of this specialty,Provider Billing Error,Provider Billing Error/Other
CO173,Payment adjusted because this service was not prescribed by a physician,Coverage/Eligibility,Coverage/Eligibility
CO174,Payment denied because this service was not prescribed prior to delivery,Coverage/Eligibility,Coverage/Eligibility
CO175,Payment denied because the prescription is incomplete,Coverage/Eligibility,Coverage/Eligibility
CO176,Payment denied because the prescription is not current,Coverage/Eligibility,Coverage/Eligibility
CO177,Patient has not met the required eligibility requirements,Coverage/Eligibility,Coverage/Eligibility
CO178,Payment adjusted because the patient has not met the required spend down requirements.,Documentation/Attachments,Documentation/Attachments
CO179,Payment adjusted because the patient has not met the required waiting requirements,Medical Necessity/Review,Medical Necessity/Review
CO18,Exact duplicate claim/service,Provider Billing Error,Provider Billing Error/Duplicate
CO180,Payment adjusted because the patient has not met the required residency requirements,Contractual/Payment,Contractual/UCR
CO181,Procedure code was invalid on the date of service,Provider Billing Error,Provider Billing Error/Coding
CO182,Procedure modifier was invalid on the date of service,Provider Billing Error,Provider Billing Error/Modifier
CO183,The referring provider is not eligible to refer service performed,Network/Provider Contract,Network/Provider Credential
CO184,The prescribing/ordering provider is not eligible to prescribe/order,Network/Provider Contract,Network/Provider Credential
CO185,The rendering provider is not eligible to perform service billed,Network/Provider Contract,Network/Provider Credential
CO186,Payment adjusted since the level of care changed,Contractual/Payment,Contractual/Payment/Other
CO187,Health Savings account payments,Pending/Processing,Pending/Review
CO188,This product/procedure is only covered when used according to FDA recommendations.,Coverage/Eligibility,Coverage/Eligibility
CO189,'Not otherwise classified' or 'unlisted' procedure code (CPT/HCPCS) was billed when there is a specific procedure code for this procedure/service,Provider Billing Error,Provider Billing Error/Coding
